 [2024-10-11 11:54:55,608: INFO: main: Welcome to Kidney Disease Classification]
[2024-10-11 23:54:33,454: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-10-11 23:54:33,459: INFO: common: yaml file: params.yaml loaded successfully]
[2024-10-12 00:04:26,449: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-10-12 00:04:26,456: INFO: common: yaml file: params.yaml loaded successfully]
[2024-10-12 00:04:26,458: INFO: common: created directory at: artifacts]
[2024-10-12 00:04:26,460: INFO: common: created directory at: artifacts/data_ingestion]
[2024-10-12 00:04:26,462: INFO: 986331348: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-10-12 00:04:42,131: INFO: 986331348: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-10-12 00:19:56,661: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-10-12 00:19:56,663: INFO: common: yaml file: params.yaml loaded successfully]
[2024-10-12 00:19:56,664: INFO: common: created directory at: artifacts]
[2024-10-12 00:19:56,666: INFO: common: created directory at: artifacts/data_ingestion]
[2024-10-12 00:19:56,667: INFO: 986331348: Downloading data from https://drive.google.com/file/d/1HpXa7enyiPRAZ_4E7o2cDgALtYhVQOHl/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-10-12 00:20:42,695: INFO: 986331348: Downloaded data from https://drive.google.com/file/d/1HpXa7enyiPRAZ_4E7o2cDgALtYhVQOHl/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-10-12 00:35:30,389: INFO: main: >>>>>> stage Data Ingestion Stage started <<<<<<]
[2024-10-12 00:35:30,393: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-10-12 00:35:30,394: INFO: common: yaml file: params.yaml loaded successfully]
[2024-10-12 00:35:30,394: INFO: common: created directory at: artifacts]
[2024-10-12 00:35:30,395: INFO: common: created directory at: artifacts/data_ingestion]
[2024-10-12 00:35:30,395: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1HpXa7enyiPRAZ_4E7o2cDgALtYhVQOHl/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-10-12 00:37:17,446: INFO: main: >>>>>> stage Data Ingestion Stage started <<<<<<]
[2024-10-12 00:37:17,449: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-10-12 00:37:17,450: INFO: common: yaml file: params.yaml loaded successfully]
[2024-10-12 00:37:17,451: INFO: common: created directory at: artifacts]
[2024-10-12 00:37:17,452: INFO: common: created directory at: artifacts/data_ingestion]
[2024-10-12 00:37:17,452: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1HpXa7enyiPRAZ_4E7o2cDgALtYhVQOHl/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-10-12 00:38:00,924: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1HpXa7enyiPRAZ_4E7o2cDgALtYhVQOHl/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-10-12 00:38:19,502: INFO: main: >>>>>> stage Data Ingestion Stage completed <<<<<<

x==========x]
